1. Age,2. Gender,3. University,4. Department,5. Academic Year,6. Current CGPA,7. Did you receive a waiver or scholarship at your university?,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","3. In a semester, how often have you had trouble relaxing due to academic pressure? ","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","5. In a semester, how often have you worried too much about academic affairs? ","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","7. In a semester, how often have you felt afraid, as if something awful might happen?",Anxiety Value,Anxiety Label,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","3. In a semester, how often you felt nervous and stressed because of academic pressure? ","4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","6. In a semester, how often you felt as if things in your academic life is going on your way? ","7. In a semester, how often are you able to control irritations in your academic / university affairs? ","8. In a semester, how often you felt as if your academic performance was on top?","9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ",Stress Value,Stress Label,"1. In a semester, how often have you had little interest or pleasure in doing things?","2. In a semester, how often have you been feeling down, depressed or hopeless?","3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","4. In a semester, how often have you been feeling tired or having little energy? ","5. In a semester, how often have you had poor appetite or overeating? ","6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ",Depression Value,Depression Label
18-22,Female,"Independent University, Bangladesh (IUB)",Engineering - CS / CSE / CSC / Similar to CS,Fourth Year or Equivalent,2.50 - 2.99,No,1,1,1,2,2,2,1,10,Moderate Anxiety,2,2,3,2,2,2,2,2,2,2,21,Moderate Stress,1,2,1,1,2,1,1,1,1,11,Moderate Depression
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.80 - 4.00,No,2,2,1,1,1,1,1,9,Mild Anxiety,2,2,2,2,2,2,2,1,1,2,18,Moderate Stress,1,1,1,1,1,1,1,1,1,9,Mild Depression
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.00 - 3.39,No,2,1,1,0,2,2,2,10,Moderate Anxiety,3,2,2,3,3,2,3,2,2,1,23,Moderate Stress,2,0,2,3,2,2,2,2,1,16,Moderately Severe Depression
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.40 - 3.79,No,2,1,1,1,1,1,1,8,Mild Anxiety,2,2,2,2,2,2,2,2,2,2,20,Moderate Stress,1,1,1,1,1,1,1,1,1,9,Mild Depression
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.40 - 3.79,No,1,1,1,1,1,1,1,7,Mild Anxiety,2,2,2,2,2,2,2,2,2,2,20,Moderate Stress,1,1,1,1,1,1,1,1,1,9,Mild Depression
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.80 - 4.00,No,2,2,2,2,2,2,2,14,Moderate Anxiety,4,2,2,2,2,2,2,2,2,2,22,Moderate Stress,2,2,2,2,2,2,2,2,2,18,Moderately Severe Depression
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.80 - 4.00,Yes,0,1,1,0,1,1,0,4,Minimal Anxiety,1,1,1,0,0,1,0,1,0,0,5,Low Stress,0,0,1,0,0,0,1,1,0,3,Minimal Depression
18-22,Male,"Independent University, Bangladesh (IUB)",Engineering - CS / CSE / CSC / Similar to CS,Third Year or Equivalent,2.50 - 2.99,No,2,2,2,2,3,2,3,16,Severe Anxiety,2,2,2,2,2,2,3,3,2,2,22,Moderate Stress,2,3,3,0,0,3,3,0,0,14,Moderate Depression
18-22,Female,"Independent University, Bangladesh (IUB)",Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.80 - 4.00,No,2,2,2,2,2,2,2,14,Moderate Anxiety,0,2,4,2,2,2,2,2,2,2,20,Moderate Stress,2,2,2,2,2,2,2,2,2,18,Moderately Severe Depression
18-22,Female,"Independent University, Bangladesh (IUB)",Engineering - CS / CSE / CSC / Similar to CS,First Year or Equivalent,3.80 - 4.00,Yes,1,1,3,3,2,2,1,13,Moderate Anxiety,2,3,2,3,2,2,2,2,2,2,22,Moderate Stress,1,3,3,3,1,3,3,2,0,19,Moderately Severe Depression
